用户名,会员等级,商品信息,评论内容,评论时间,评分,版本,颜色,回复数,点赞数
莫***涙,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,心仪很久的手机了，机子手感很好，系统流畅，吃鸡流畅，不带卡，并没有像个别评价，发热严重现象，机身轻微发热会有，不至于会烫手。特意留意了下外观有没划痕，摄像头有没进灰，才@的，@后是不支持七天无理由退换的，特别提醒一下大家，京东快递还是蛮快的，超过了配送时间，大晚上还送过来，赞一个！机子领券后6799到手。白条六期免息也得赞一个！,2018-10-30 23:33:44,5,公开版,深空灰色,17,47
警***0,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,手机到手，使用了一段时间来评价的，首先京东发货比较快，快递服务好，这个非常棒！再个说说手机使用情况，屏幕细腻度清晰度还是肯定的，就是发黄太严重了点，但是也不影响使用，处理器反应确实快，没得说，照相机拍照清晰度比前代好些，最后说说外观及手感那是没得说，5.8的机身跟7就大那么一点点，比p那简直小了一大圈，这次苹果十周年的产品确实用足了心，总体x非常满意，早买早享受，绝对好评！,2017-12-02 08:54:41,5,公开版,深空灰色,7,71
-***心,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,双十一凌晨抢到了，原价购买。听说有新品还有优惠券，可惜没抢到。京东确实牛，我朋友三号官网订的要到12月才拿到。哈哈哈，贵有贵的地方，手机质感很好，买的大部分是屏幕。不用担心烧屏问题，亲测十分钟显示固定画面，无任何异常。在日常使用中，只要不过分长时间显示同一画面，一般没啥大问题，苹果对于这块oled屏幕优化的还是很好的。戴套是必须的，不然万一那个啥了，跟去医院有啥区别呢？,2017-11-17 13:07:09,5,公开版,深空灰色,11,155
雙***鎧,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,我喜欢它的屏幕，还喜欢它的机身设计以及尺寸，面容识别很快，打开软件感觉比安卓要流畅还有快，就是无聊打开辅助触控的手势玩玩就卡了那么几秒，还有刚下载的贴吧会闪退，其他还没发现大概是系统不够完善，喇叭够大声，还有重低音，拍照一流的好，经常玩一天一充，聊天两天一充，使用方便不少，就是有些软件还没适配。希望游戏方面能适配一下，还有软件,2017-12-16 12:45:13,5,公开版,深空灰色,38,149
170*****783_p,银牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,苹果这次真的特别给力 这款手机也是十年以来最完美的一部 很多评价里说的掉漆啊有灰尘啊什么的我都没有遇到这种情况 是原装的 在配送店里开箱验的货 特别完美 像素很高 同学们都很羡慕  在京东买了三次iPhone了 京东这个平台真的很好 以后买手机都会来京东的  手机很好 服务很少 物流很快 五星好评 特别上档次噢,2018-01-09 10:20:38,5,公开版,深空灰色,54,241
丶***花,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,11日晚上十点抢到，13日早上就送到了，京东还是厉害的，手机用了一个月，也用习惯了，还是蛮好用的！,2017-12-18 10:10:57,5,公开版,银色,26,79
j***f,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,已经收到了，现在已经在用了，目手感和速度各方面都挺好的正品！用段时间再追评！,2018-07-19 22:33:00,5,公开版,深空灰色,73,242
z***e,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,感觉又高大上了，都不会用了，给老公买的生日礼物，还没激活,2017-11-17 19:32:00,5,公开版,深空灰色,12,33
关***羊,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,收到X 迫不及待打开包装，第一印象就是分量，是比所有之前机子都重，手感很好，整体并不是很大，屏幕还可以，面容id解锁挺快的，唯一的缺点就是不能显示电池容量。一直信赖京东。,2017-11-04 12:55:05,5,公开版,银色,159,271
j***猪,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,第三天下单就收到了，速度服务还是很好的，之前5s的速度和这真的和这个真的没法比，手感很好，用了几天突然发现屏幕有条线，马上找卖家，后来发现是我屏幕的膜的问题，用段时间再来追评,2018-05-04 12:02:13,5,公开版,深空灰色,23,55
w***5,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,拿到手很漂亮，不过现在网上对于苹果x的言论太多，我只说一句，跟从自己的内心选择，没有错。,2017-11-07 13:57:07,5,公开版,深空灰色,4,15
j***3,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,手机很好，很有质感，去店里鉴定是新机，未激活的，没有瑕疵，一次买了很多手机壳手机膜，真的很喜欢，上次买的iPhone5S也很舒心，6plus也在自营这里买的，很好的机子，嘿嘿,2017-12-16 11:48:35,5,公开版,深空灰色,250,430
A***9,银牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,玩了两个小时，目前还没有发现什么问题，流畅度很高，拍照还没有发现特别的地方，有个问题，为什么不给开发票？,2018-11-10 18:43:33,5,公开版,深空灰色,1,0
g***0,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,为什么我的手机声音放到最大，有破音的感觉。其他的还可以,2018-11-12 12:36:48,5,公开版,深空灰色,4,6
青***儿,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,先说下手机吧。运行速度很快，画面流畅清晰，使用过程中未出现卡顿，续航没什么长进，但是作为一个女生，也够用了。经常看到评论里说手机会出现各种问题的，可能是我运气比较好，用的每一部苹果没有一个是因为手机自身出问题的，都是我外力原因保管不善造成的，一直很相信苹果的质量，也一直在用，质量不质疑。再说京东吧，买过N次东西，物流很快，售后也可以，我一般是不在第三方买东西的，所以自营还是值得信赖的。关于手机，后续使用中会追评，希望一如既往的好，别让我失了信任。,2018-10-29 07:55:18,5,公开版,银色,7,21
我***腾,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,6089入的，领400优惠券，关注了很久在最便宜时入的手，物流很快，今天十一点下单，下午四点半到手，简直神速。收到了立马@查序列号，全对上了，正品无误。外观很精致，手感很好，唯一不足就是屏小了一点。Xr太丑，XSmax又太贵，选X没错，没白支持京东十年，加油雄起！,2018-12-26 00:08:36,5,公开版,深空灰色,7,1
开***哥,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,卖了两个肾换个iponex?用了几天总体感觉挺好，还没发现异常。,2018-10-04 11:56:14,5,公开版,深空灰色,13,22
C***哒,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,不错，本来在*旗舰买的 结果到货就是掉漆的，果断换京东，非常好,2018-08-06 16:24:52,5,公开版,深空灰色,7,21
j***v,PLUS会员[试用],Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,很好 快。快,2017-11-08 11:36:28,5,公开版,深空灰色,24,181
j***i,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,手机挺好的，拿起来挺精致的，还是一份价钱一分货呀。,2018-03-10 20:34:59,5,公开版,银色,3,12
i***u,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,自己没舍得用，给女朋友买的，她高兴极了,2018-05-08 16:19:47,5,公开版,银色,5,48
z***心,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,这是第一台的iphone经过多款机型的对比最后选择了这款，由于一直用安卓机，对苹果手机操作刚开始有点不太适应，玩了半天感觉很快上手了，选这机真的是不错的选择，按键各方面都很流畅，颜值手感又好，用上一段时间感觉怎样再好好好评,2018-09-21 10:36:49,5,公开版,银色,29,53
伟***然,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,总体评价非常棒。1.运行速度流畅，和之前的iPhone6相比天壤之别。虽然iPhone的内存一向不是很大，但优化的速度确实不错2.异形刘海确实初期用起来有点奇怪，但习惯了都一样。而且屏幕较大也不会在意顶部的这个空间3.面部识别我的感觉是比较中性。站着识别比较方便，躺着的话就没指纹那么好用了4.通话质量等没话可说，稳定好用。,2018-04-19 16:01:32,5,公开版,银色,22,91
j***4,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,"手机完美，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖．",2018-12-28 03:26:43,5,公开版,深空灰色,1,1
敖***国,铜牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,整体来说还行   有点厚   保护套都不送一个   很抠    先用一段时间再说,2018-12-25 18:15:17,5,公开版,深空灰色,0,2
了***堪,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2018-04-12 16:12:34,5,公开版,银色,76,90
j***q,银牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,喜欢小屏手机，买到了喜欢的黑色，是原封的机器，按键都完美，没有一高一低的情况！外观完好！12.0.1的系统，准备把系统屏蔽以后都不更新了！perfect！配了个官方xs森林绿的皮壳子！,2018-12-21 11:21:56,5,公开版,深空灰色,3,1
w***1,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,新旧手机对比一下，让大家看看苹果多么的清奇！手机的屏幕和做工都非常不错，给我点赞。希望国产品牌除了硬件上追卡之外，在软件上也要下足功夫。华为就是在软件上吃了亏,2018-12-08 17:56:10,5,公开版,深空灰色,0,1
安***爹,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,还可以吧，目前没什么毛病，自己买一个64足够，送老婆一个256G的，存孩子照片用，就是有点小，电量不太扛用，感觉没有华为皮实，先用着吧，玩儿一年送父母再换新的,2017-12-28 13:46:23,5,公开版,银色,94,145
瑾珂珂珂,PLUS会员[试用],Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,收到了东西没的说，挺好用的，吐槽一下苹果配件，什么都没有，只有充电器耳机，另外，这里的快递不送，我自己去取的，,2018-12-06 23:46:16,5,公开版,深空灰色,1,1
无***礼,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,正在使用当中，sim卡槽装进手机卡，之后闭不严，不知道为什么？之前在京东商城购买的iPhone5、iPhone6、iPhone6s、iPhone plus7都没有这个情况出现！其它功能还在使用摸索当中暂时没有发现什么问题！等待后续追评???,2018-03-11 21:23:36,5,公开版,银色,6,29
男***崔,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,很漂亮，手感可以，重新使用iOS系统还不太适应，用的6期免息，缓解压力,2018-10-22 20:41:40,5,公开版,银色,25,89
x***1,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,可惜只能上传一段视频，第一次买的时候，手机屏幕在视频那两个APP的地方失灵不能点，用了4天发回去换货，换货换了一个星期，寄回来之后，第二个手机，当天是5月16号，我5月16号激活，结果官网显示激活时间居然是4月14号的，我就怀疑我买到二手机，问了客服也是折腾了好久，最后他们跟我说是服务器的问题，说过一两天就会变成5月16，后来我网上一搜，在二东买到这样情况手机的人还不少。最后也都是客服去官网修改了这个时间，果不其然，第二天客服打电话给我，说官网时间已经变过来了，我去查果然是变成了5月16，他们应该是可以联系苹果官网那边修改这些时间，但是也改变不了这就是个二手机，也就算了，我想在换货也折腾一次要一个多星期，能用将就用，然后新手机，或者说这个二手机，又出问题了，屏幕长按会断开，比如你微信发语音，按住后一段时间他会自动断开，导致我很多微信说一半语音就发出去了，这个我也不知道是不是因为我贴钢化膜的原因，也算了，反正我平时比较少发语音，也不算太碍事，结果再25号，二手机使用的第9天，直接手机开不了机，现在已申请换货，希望这次不要再收到二手机，又要折腾一个星期了，字数限制，等换完再后续追评。,2018-05-25 19:04:20,1,公开版,深空灰色,81,491
E***i,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,第二天就到了，运行速度也提高了不少，拍照清晰，视频流畅,2018-04-22 09:45:49,5,公开版,银色,11,38
b***y,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,双十一买了两台，给老婆买的银色是下午才下单，黑色是零点零分下单，银色先到了，自己到配送站去自提的，包装确实很差劲，一个小纸盒装的，没任何保护措施，好在东西完好无损，看来京东对自己的物流还是很有自信的！手机原封未激活，开机暂未发现异样，老婆在用，应该要适应两天的，屏幕确实很棒，至于其他方面没有用过就不乱评论了！,2017-11-20 00:27:06,5,公开版,银色,26,86
S***6,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,iPhoneX比我那个iPhone 7好用很多。手机尺寸比iPhone 7大一点点，所以感觉不到大多少，反而屏幕大很多。这点很好！系统是11.4.1，不好用。升级到iOS12后，好很多。其他的不用多说，大家都知道的吧！,2018-10-03 07:34:33,5,公开版,银色,4,8
I***y,银牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,目前没有什么问题！就是有些APP打开图片有延迟吧！,2018-11-07 16:20:32,5,公开版,深空灰色,1,0
废***瑶,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,什么都么有给我送,2018-12-29 13:24:54,5,公开版,深空灰色,2,4
